OverallQual,GrLivArea,TotalBsmtSF,GarageCars,FullBath,YearBuilt,YearRemodAdd,LotArea,Fireplaces,Neighborhood,BldgType,HouseStyle,CentralAir,SalePrice
6,1358.0,883.0,1.0,1,1956,1967,6969.0,0,CollegeCreek,1Fam,1.5Fin,Y,358200.0
6,2102.0,1692.0,2.0,2,2013,2016,12475.0,1,Somerset,1Fam,2Story,Y,557000.0
6,790.0,623.0,2.0,1,2015,2019,15386.0,3,Somerset,1Fam,1Story,Y,417200.0
6,1616.0,1422.0,2.0,2,1925,1950,2553.0,1,OldTown,1Fam,1.5Fin,Y,378800.0
5,1624.0,,2.0,2,1923,1950,6093.0,0,Gilbert,1Fam,2Story,Y,374400.0
6,1978.0,1650.0,2.0,2,1965,1990,6341.0,1,Somerset,1Fam,1Story,N,475400.0
6,2218.0,2227.0,3.0,3,1979,1986,13183.0,0,NorthAmes,1Fam,1Story,Y,537700.0
7,1960.0,1197.0,3.0,2,2007,2021,1800.0,0,NorthAmes,TwnhsE,1Story,Y,522900.0
5,2355.0,1865.0,2.0,3,1971,1983,17724.0,2,Somerset,1Fam,1Story,Y,516700.0
7,1852.0,1866.0,3.0,3,1927,1950,7001.0,0,CollegeCreek,1Fam,2Story,Y,494600.0
7,1405.0,1369.0,2.0,1,1955,1963,9840.0,0,Sawyer,1Fam,1Story,Y,429800.0
3,1055.0,663.0,0.0,1,1923,1950,22944.0,0,Gilbert,1Fam,1Story,Y,236800.0
10,2579.0,1584.0,4.0,3,2012,2024,23297.0,0,Sawyer,1Fam,2Story,Y,747100.0
8,1851.0,1861.0,3.0,2,2012,2024,10465.0,3,Sawyer,1Fam,1Story,Y,586700.0
8,1619.0,1338.0,3.0,2,1954,1979,9374.0,0,Northridge,1Fam,2Story,Y,581700.0
5,1131.0,700.0,1.0,1,2004,2024,6556.0,1,Edwards,1Fam,1Story,Y,340200.0
6,1466.0,1201.0,3.0,2,2018,2020,4428.0,1,OldTown,1Fam,2Story,N,422400.0
6,1954.0,1694.0,2.0,2,1977,2002,4593.0,0,CollegeCreek,1Fam,1Story,Y,474200.0
7,1217.0,1072.0,3.0,1,1985,1995,12946.0,0,CollegeCreek,1Fam,2Story,Y,463300.0
6,2383.0,2243.0,3.0,4,2010,2023,11625.0,0,Northridge,1Fam,2Story,Y,663600.0
7,2248.0,1567.0,2.0,3,2007,2018,15102.0,1,Gilbert,Twnhs,1Story,N,541600.0
7,1918.0,1302.0,2.0,3,1955,1974,9747.0,0,Gilbert,1Fam,2Story,Y,514200.0
5,944.0,1010.0,2.0,1,1936,1963,7791.0,0,OldTown,1Fam,1Story,Y,264900.0
5,1770.0,1347.0,2.0,2,1993,2017,2700.0,1,Crawford,1Fam,2Story,Y,435100.0
5,1714.0,1547.0,1.0,3,1934,1953,6262.0,2,Northridge,1Fam,1.5Fin,Y,448300.0
4,1147.0,1153.0,1.0,1,1940,1950,7195.0,0,Somerset,1Fam,1Story,Y,311500.0
5,1984.0,1715.0,2.0,1,1952,1957,14738.0,0,Crawford,1Fam,SLvl,Y,427900.0
