OverallQual,GrLivArea,TotalBsmtSF,GarageCars,FullBath,YearBuilt,YearRemodAdd,LotArea,Fireplaces,Neighborhood,BldgType,HouseStyle,CentralAir,SalePrice
7,1304.0,959.0,2.0,2,2016,2024,10454.0,3,OldTown,1Fam,2Story,Y,491800.0
6,1835.0,2018.0,1.0,2,1920,1950,6754.0,0,Mitchell,1Fam,2Story,Y,406100.0
6,1263.0,953.0,2.0,2,1970,1975,5830.0,0,Gilbert,1Fam,1Story,Y,410700.0
5,1457.0,0.0,2.0,3,1924,1950,6921.0,0,Somerset,1Fam,2Story,Y,379600.0
6,2188.0,2053.0,2.0,2,1932,1961,7171.0,0,NorthAmes,1Fam,2Story,Y,480700.0
7,1382.0,1065.0,2.0,2,1938,1950,5867.0,0,NorthAmes,1Fam,2Story,Y,412400.0
4,759.0,0.0,1.0,1,1931,1950,3749.0,1,NorthAmes,1Fam,1.5Fin,Y,214400.0
6,1138.0,1161.0,2.0,1,1967,1982,15835.0,0,Northridge,1Fam,1Story,Y,432900.0
6,1998.0,2081.0,2.0,2,1944,1970,14550.0,0,Somerset,1Fam,2Story,Y,515700.0
5,1607.0,1093.0,2.0,1,1976,1996,4738.0,0,Gilbert,1Fam,1Story,N,377600.0
5,1446.0,1113.0,2.0,1,1954,1973,9587.0,2,NorthAmes,TwnhsE,2Story,Y,361000.0
6,1366.0,1049.0,3.0,2,1995,2014,5704.0,1,Mitchell,1Fam,1Story,Y,412800.0
5,1704.0,1058.0,2.0,2,2013,2024,7857.0,2,Northridge,Duplex,1Story,Y,479800.0
7,1303.0,1172.0,2.0,1,1924,1950,7537.0,2,CollegeCreek,1Fam,1Story,Y,445500.0
5,1628.0,1673.0,1.0,2,2017,2024,7231.0,1,NorthAmes,1Fam,2Story,Y,434500.0
8,1433.0,1133.0,3.0,2,1941,1953,24379.0,0,NorthAmes,1Fam,1Story,Y,490000.0
9,1443.0,1400.0,1.0,2,2022,2024,7186.0,0,CollegeCreek,1Fam,2Story,Y,576800.0
5,1232.0,1126.0,1.0,2,1996,2004,5978.0,0,Edwards,Twnhs,1Story,Y,326100.0
7,1502.0,1183.0,2.0,1,1976,1979,6116.0,1,OldTown,1Fam,1Story,Y,437500.0
5,1479.0,992.0,2.0,1,1966,1977,15092.0,0,CollegeCreek,Duplex,2Story,Y,382200.0
8,1839.0,1756.0,3.0,2,1973,1981,3920.0,0,Somerset,1Fam,1Story,Y,598200.0
4,600.0,616.0,2.0,1,1922,1950,6116.0,1,NorthAmes,Duplex,1Story,Y,231200.0
7,1321.0,1246.0,1.0,2,1972,1987,18461.0,1,CollegeCreek,1Fam,2Story,Y,459300.0
5,1336.0,814.0,2.0,1,2003,2024,10117.0,1,OldTown,1Fam,1Story,Y,363500.0
6,2212.0,1566.0,1.0,3,1950,1955,9857.0,0,OldTown,1Fam,1Story,Y,445300.0
5,1046.0,664.0,1.0,1,1988,1997,26006.0,1,Sawyer,1Fam,1Story,Y,338700.0
7,1728.0,1530.0,2.0,2,2007,2019,10129.0,1,NorthAmes,1Fam,1.5Fin,Y,509600.0
5,2128.0,0.0,3.0,3,2023,2024,6285.0,0,Edwards,1Fam,2Story,Y,428900.0
7,1109.0,727.0,3.0,1,1952,1979,7777.0,1,Somerset,TwnhsE,2Story,Y,459000.0
6,1745.0,1778.0,2.0,2,1991,2016,5076.0,2,NorthAmes,1Fam,2Story,Y,480300.0
6,1243.0,1091.0,2.0,1,2007,2024,16780.0,0,Somerset,1Fam,1Story,Y,440800.0
6,1368.0,1293.0,2.0,2,1969,1992,11936.0,0,NorthAmes,1Fam,1Story,Y,431800.0
5,1163.0,1263.0,1.0,1,2003,2021,15712.0,1,NorthAmes,1Fam,2Story,Y,362600.0
6,1273.0,817.0,2.0,2,1935,1951,16424.0,0,Crawford,1Fam,1Story,Y,384200.0
8,2883.0,3029.0,2.0,3,1995,2007,7280.0,1,Mitchell,1Fam,1Story,Y,679800.0
5,1855.0,1230.0,,2,1996,2008,5584.0,0,Sawyer,1Fam,1Story,Y,393200.0
8,2203.0,1755.0,3.0,3,1958,1983,8727.0,1,CollegeCreek,1Fam,1Story,Y,624800.0
8,1947.0,1997.0,3.0,2,2008,2024,5788.0,1,NorthAmes,1Fam,SLvl,Y,562000.0
5,825.0,869.0,2.0,2,1965,1985,9725.0,1,Gilbert,1Fam,1Story,Y,317000.0
4,1586.0,1353.0,0.0,2,2015,2016,15773.0,0,OldTown,1Fam,2Story,Y,354400.0
7,2111.0,1894.0,2.0,3,2007,2016,8233.0,0,NorthAmes,1Fam,1Story,Y,563200.0
5,1142.0,1090.0,1.0,1,1966,1995,9653.0,0,Edwards,1Fam,SLvl,Y,305300.0
9,2225.0,2261.0,2.0,3,1963,1984,8545.0,0,NorthAmes,1Fam,1Story,Y,642200.0
